       image,duration,numClients,samples,duration,avg_lat,median_lat,medianw10p,medianw5p,p99_lat,max_lat,energy(J),avg_power(W),energy_per_req,cpu(user%),cpu(system%)
 javaquarkus,     120,         1,   5182,     120,  22.21,        21,        46,       60,     71,    559,   318.77,      318.77,          0.06,      0.06,        0.01
 javaquarkus,     120,         4,  19370,     120,  23.96,        21,        56,       70,     81,    717,   482.33,      482.33,          0.02,      0.12,        0.03
        ruby,     120,         1,   1694,     120,  69.99,        65,       107,      113,    121,    191,   223.41,      223.41,          0.13,      0.07,        0.01
        ruby,     120,         4,   1715,     120, 279.57,       327,       381,      401,    413,    489,   204.44,      204.44,          0.12,      0.07,        0.01
      golang,     120,         1,   5140,     120,  22.42,        21,        43,       56,     70,     77,   248.86,      248.86,          0.05,      0.02,        0.02
      golang,     120,         4,  16949,     120,  27.35,        25,        59,       72,     84,    221,   332.64,      332.64,          0.02,      0.06,        0.05
        node,     120,         1,   3461,     120,  33.80,        28,        70,       78,     88,    119,   182.89,      182.89,          0.05,      0.04,        0.01
        node,     120,         4,  13196,     120,  35.35,        31,        75,       88,     97,    682,   516.11,      516.11,          0.04,      0.06,        0.01
pythondjango,     120,         1,    568,     120, 210.58,       205,       266,      274,    279,    467,   507.56,      507.56,          0.89,      0.08,        0.00
pythondjango,     120,         4,   2302,     120, 207.91,       200,       256,      292,    377,    533,  1574.73,     1574.73,          0.68,      0.35,        0.01
      kotlin,     120,         1,   5813,     120,  19.73,        17,        38,       60,     64,    308,   302.70,      302.70,          0.05,      0.06,        0.02
      kotlin,     120,         4,  19701,     120,  23.03,        21,        54,       68,     74,   1057,   474.35,      474.35,          0.02,      0.12,        0.05
       scala,     120,         1,   1753,     120,  67.58,        58,       113,      128,    286,   1102,   945.33,      945.33,          0.54,      0.15,        0.06
       scala,     120,         4,   2052,     121, 235.66,        53,       126,      152,    205,  43965,   239.77,      239.77,          0.12,      0.10,        0.02
        rust,     120,         1,   4978,     120,  23.01,        20,        53,       62,     74,   1544,   106.05,      106.05,          0.02,      0.01,        0.01
        rust,     120,         4,  17941,     120,  25.61,        22,        61,       72,     77,    212,   225.37,      225.37,          0.01,      0.03,        0.02
  pythonjude,     120,         1,   4936,     120,  23.46,        19,        58,       77,    100,    329,   185.51,      185.51,          0.04,      0.05,        0.02
  pythonjude,     120,         4,  14990,     120,  31.07,        22,        70,       88,    101,    137,   447.92,      447.92,          0.03,      0.12,        0.03
pythonjudev2,     120,         1,   5247,     120,  21.97,        20,        52,       62,     74,    112,   195.21,      195.21,          0.04,      0.08,        0.05
pythonjudev2,     120,         4,  11351,     120,  41.48,        28,        95,      102,    114,    515,   325.35,      325.35,          0.03,      0.13,        0.06
